city,location,area_sqft,bedrooms,furnishing,age_years,price_per_sqft,price_in_lakhs
Mumbai,Bandra West,800,1,Unfurnished,2,47267.82,378.14
Mumbai,Bandra West,800,1,Unfurnished,9,44904.43,359.24
Mumbai,Bandra West,800,1,Unfurnished,15,42541.04,340.33
Mumbai,Bandra West,800,1,Semi-Furnished,2,49631.21,397.05
Mumbai,Bandra West,800,1,Semi-Furnished,9,47149.65,377.2
Mumbai,Bandra West,800,1,Semi-Furnished,15,44668.09,357.34
Mumbai,Bandra West,800,1,Furnished,2,51994.6,415.96
Mumbai,Bandra West,800,1,Furnished,9,49394.87,395.16
Mumbai,Bandra West,800,1,Furnished,15,46795.14,374.36
Mumbai,Bandra West,800,2,Unfurnished,2,49900,399.20 
Mumbai,Bandra West,800,2,Unfurnished,9,44023.95,352.19
Mumbai,Bandra West,800,2,Unfurnished,15,41706.9,333.66
Mumbai,Bandra West,800,2,Semi-Furnished,2,51000,408.00 
Mumbai,Bandra West,800,2,Semi-Furnished,9,48800,390.04
Mumbai,Bandra West,800,2,Semi-Furnished,15,46900.56,375.20 
Mumbai,Bandra West,800,2,Furnished,2,52104,416.83
Mumbai,Bandra West,800,2,Furnished,9,48426.35,387.41
Mumbai,Bandra West,800,2,Furnished,15,45877.59,367.02
Mumbai,Bandra West,800,3,Unfurnished,2,50950.18,407.60 
Mumbai,Bandra West,800,3,Unfurnished,9,45680.31,365.44
Mumbai,Bandra West,800,3,Unfurnished,15,40872.76,326.98
Mumbai,Bandra West,800,3,Semi-Furnished,2,51970,415.76
Mumbai,Bandra West,800,3,Semi-Furnished,9,46780,374.24
Mumbai,Bandra West,800,3,Semi-Furnished,15,42916.4,343.33
Mumbai,Bandra West,800,3,Furnished,2,52860,422.88
Mumbai,Bandra West,800,3,Furnished,9,48900,391.20 
Mumbai,Bandra West,800,3,Furnished,15,44960.04,359.68
Mumbai,Bandra West,1200,1,Unfurnished,2,47267.82,567.21
Mumbai,Bandra West,1200,1,Unfurnished,9,44904.43,538.85
Mumbai,Bandra West,1200,1,Unfurnished,15,42541.04,510.49
Mumbai,Bandra West,1200,1,Semi-Furnished,2,49631.21,595.57
Mumbai,Bandra West,1200,1,Semi-Furnished,9,47149.65,565.8
Mumbai,Bandra West,1200,1,Semi-Furnished,15,44668.09,536.02
Mumbai,Bandra West,1200,1,Furnished,2,51994.6,593.94
Mumbai,Bandra West,1200,1,Furnished,9,49394.87,572.74
Mumbai,Bandra West,1200,1,Furnished,15,46795.14,561.54
Mumbai,Bandra West,1200,2,Unfurnished,2,48765,585.18
Mumbai,Bandra West,1200,2,Unfurnished,9,45765.95,549.08
Mumbai,Bandra West,1200,2,Unfurnished,15,43100.9,517.21
Mumbai,Bandra West,1200,2,Semi-Furnished,2,48658.05,592.80 
Mumbai,Bandra West,1200,2,Semi-Furnished,9,46225.15,554.7
Mumbai,Bandra West,1200,2,Semi-Furnished,15,43792.25,525.51
Mumbai,Bandra West,1200,2,Furnished,2,50975.1,600.21
Mumbai,Bandra West,1200,2,Furnished,9,48426.35,581.12
Mumbai,Bandra West,1200,2,Furnished,15,45877.59,550.53
Mumbai,Bandra West,1200,3,Unfurnished,2,45414.18,599.97
Mumbai,Bandra West,1200,3,Unfurnished,9,43143.47,557.72
Mumbai,Bandra West,1200,3,Unfurnished,15,40872.76,512.47
Mumbai,Bandra West,1200,3,Semi-Furnished,2,47684.89,605.86
Mumbai,Bandra West,1200,3,Semi-Furnished,9,45300.64,573.61
Mumbai,Bandra West,1200,3,Semi-Furnished,15,42916.4,546.54
Mumbai,Bandra West,1200,3,Furnished,2,49955.6,617.47
Mumbai,Bandra West,1200,3,Furnished,9,47457.82,575.49
Mumbai,Bandra West,1200,3,Furnished,15,44960.04,539.52
Mumbai,Bandra West,1600,1,Unfurnished,2,47267.82,756.29
Mumbai,Bandra West,1600,1,Unfurnished,9,44904.43,718.47
Mumbai,Bandra West,1600,1,Unfurnished,15,42541.04,680.66
Mumbai,Bandra West,1600,1,Semi-Furnished,2,49631.21,764.1
Mumbai,Bandra West,1600,1,Semi-Furnished,9,47149.65,734.39
Mumbai,Bandra West,1600,1,Semi-Furnished,15,44668.09,704.69
Mumbai,Bandra West,1600,1,Furnished,2,51994.6,831.91
Mumbai,Bandra West,1600,1,Furnished,9,49394.87,790.32
Mumbai,Bandra West,1600,1,Furnished,15,46795.14,748.72
Mumbai,Bandra West,1600,2,Unfurnished,2,46341,767.46
Mumbai,Bandra West,1600,2,Unfurnished,9,44023.95,732.38
Mumbai,Bandra West,1600,2,Unfurnished,15,41706.9,699.31
Mumbai,Bandra West,1600,2,Semi-Furnished,2,48658.05,778.53
Mumbai,Bandra West,1600,2,Semi-Furnished,9,46225.15,739.6
Mumbai,Bandra West,1600,2,Semi-Furnished,15,43792.25,700.68
Mumbai,Bandra West,1600,2,Furnished,2,50975.1,815.6
Mumbai,Bandra West,1600,2,Furnished,9,48426.35,774.82
Mumbai,Bandra West,1600,2,Furnished,15,45877.59,734.04
Mumbai,Bandra West,1600,3,Unfurnished,2,45414.18,812.12
Mumbai,Bandra West,1600,3,Unfurnished,9,43143.47,771.45
Mumbai,Bandra West,1600,3,Unfurnished,15,40872.76,726.12
Mumbai,Bandra West,1600,3,Semi-Furnished,2,47684.89,820.54
Mumbai,Bandra West,1600,3,Semi-Furnished,9,45300.64,784.12
Mumbai,Bandra West,1600,3,Semi-Furnished,15,42916.4,752.47
Mumbai,Bandra West,1600,3,Furnished,2,49955.6,824.14
Mumbai,Bandra West,1600,3,Furnished,9,47457.82,794.14
Mumbai,Bandra West,1600,3,Furnished,15,44960.04,771.95
Mumbai,Juhu,800,1,Unfurnished,2,51918,415.34
Mumbai,Juhu,800,1,Unfurnished,9,49322.1,394.58
Mumbai,Juhu,800,1,Unfurnished,15,46726.2,373.81
Mumbai,Juhu,800,1,Semi-Furnished,2,54513.9,436.11
Mumbai,Juhu,800,1,Semi-Furnished,9,51788.21,414.31
Mumbai,Juhu,800,1,Semi-Furnished,15,49062.51,392.5
Mumbai,Juhu,800,1,Furnished,2,57109.8,456.88
Mumbai,Juhu,800,1,Furnished,9,54254.31,434.03
Mumbai,Juhu,800,1,Furnished,15,51398.82,411.19
Mumbai,Juhu,800,2,Unfurnished,2,50900,407.2
Mumbai,Juhu,800,2,Unfurnished,9,48355,386.84
